5プランクプッシュアップ
4ダイヤモンドプッシュアップ
3膝つきダイヤモンドプッシュアップ
2膝つきプランクプッシュアップ
1フロアディップス
5椅子に足をのせてプッシュアップ
4片足プッシュアップ
3ノーマルプッシュアップ
2膝つきプッシュアップ
1壁に手をついてプッシュアップ
5トゥータッチ
4V字腹筋
3ニートゥーチェスト
2レッグレイズ
1クランチ
5ジャンピングスクワット
4ブルガリアンスクワット
3サイドスクワット
2フルスクワット
1ノーマルスクワット
5懸垂
4バックリバースプランクアップダウン
3パイクプッシュアップ
2バックエクステンション
1タオルローイング
5台の上で片足カーフレイズ
4片足スタンディングカーフレイズ
3ドンキーカーフレイズ
2シーテッドカーフレイズ
1スタンディングカーフレイズ
